DayType,Line,Direction,TimePeriod,Trips,Period_Average_Headway
1,71,W,5_Night,2,150.0
1,76,E,1_Early_AM,6,60.0
1,76,E,2_AM_Peak,10,18.0
1,76,E,3_Mid-Day,23,15.7
1,76,E,4_PM_Peak,18,13.3
1,76,E,5_Night,7,42.9
1,76,W,1_Early_AM,8,45.0
1,76,W,2_AM_Peak,12,15.0
1,76,W,3_Mid-Day,24,15.0
1,76,W,4_PM_Peak,14,17.1
1,76,W,5_Night,7,42.9
1,78,E,1_Early_AM,5,72.0
1,78,E,2_AM_Peak,14,12.9
1,78,E,3_Mid-Day,28,12.9
1,78,E,4_PM_Peak,31,7.7
1,78,E,5_Night,14,21.4
1,78,W,1_Early_AM,7,51.4
1,78,W,2_AM_Peak,26,6.9
1,78,W,3_Mid-Day,26,13.8
1,78,W,4_PM_Peak,22,10.9
1,78,W,5_Night,11,27.3
1,81,N,1_Early_AM,4,90.0
1,81,N,2_AM_Peak,20,9.0
1,81,N,3_Mid-Day,26,13.8
1,81,N,4_PM_Peak,21,11.4
1,81,N,5_Night,7,42.9
1,81,S,1_Early_AM,5,72.0
1,81,S,2_AM_Peak,22,8.2
1,81,S,3_Mid-Day,25,14.4
1,81,S,4_PM_Peak,25,9.6
1,81,S,5_Night,9,33.3
1,83,N,1_Early_AM,6,60.0
1,83,N,2_AM_Peak,5,36.0
1,83,N,3_Mid-Day,10,36.0
1,83,N,4_PM_Peak,11,21.8
1,83,N,5_Night,7,42.9
1,83,S,1_Early_AM,8,45.0
1,83,S,2_AM_Peak,8,22.5
1,83,S,3_Mid-Day,10,36.0
1,83,S,4_PM_Peak,8,30.0
1,83,S,5_Night,6,50.0
1,90,N,1_Early_AM,3,120.0
1,90,N,2_AM_Peak,12,15.0
1,90,N,3_Mid-Day,13,27.7
1,90,N,4_PM_Peak,15,16.0
1,90,N,5_Night,8,37.5
1,90,S,1_Early_AM,3,120.0
1,90,S,2_AM_Peak,9,20.0
1,90,S,3_Mid-Day,15,24.0
1,90,S,4_PM_Peak,10,24.0
1,90,S,5_Night,10,30.0
1,92,N,1_Early_AM,6,60.0
1,92,N,2_AM_Peak,9,20.0
1,92,N,3_Mid-Day,14,25.7
1,92,N,4_PM_Peak,12,20.0
1,92,N,5_Night,7,42.9
1,92,S,1_Early_AM,7,51.4
1,92,S,2_AM_Peak,9,20.0
1,92,S,3_Mid-Day,15,24.0
1,92,S,4_PM_Peak,11,21.8
1,92,S,5_Night,6,50.0
1,94,N,1_Early_AM,4,90.0
1,94,N,2_AM_Peak,9,20.0
1,94,N,3_Mid-Day,12,30.0
1,94,N,4_PM_Peak,11,21.8
1,94,N,5_Night,8,37.5
1,94,S,1_Early_AM,5,72.0
1,94,S,2_AM_Peak,9,20.0
1,94,S,3_Mid-Day,13,27.7
1,94,S,4_PM_Peak,11,21.8
1,94,S,5_Night,6,50.0
1,96,N,1_Early_AM,3,120.0
1,96,N,2_AM_Peak,6,30.0
1,96,N,3_Mid-Day,9,40.0
1,96,N,4_PM_Peak,8,30.0
1,96,N,5_Night,3,100.0
1,96,S,1_Early_AM,2,180.0
1,96,S,2_AM_Peak,6,30.0
1,96,S,3_Mid-Day,9,40.0
1,96,S,4_PM_Peak,8,30.0
1,96,S,5_Night,3,100.0
1,102,E,1_Early_AM,2,180.0
1,102,E,2_AM_Peak,5,36.0
1,102,E,3_Mid-Day,7,51.4
1,102,E,4_PM_Peak,6,40.0
1,102,E,5_Night,6,50.0
1,102,W,1_Early_AM,1,360.0
1,102,W,2_AM_Peak,5,36.0
1,102,W,3_Mid-Day,7,51.4
1,102,W,4_PM_Peak,6,40.0
1,102,W,5_Night,6,50.0
1,105,N,1_Early_AM,7,51.4
1,105,N,2_AM_Peak,10,18.0
1,105,N,3_Mid-Day,19,18.9
1,105,N,4_PM_Peak,18,13.3
1,105,N,5_Night,8,37.5
1,105,S,1_Early_AM,8,45.0
1,105,S,2_AM_Peak,13,13.8
1,105,S,3_Mid-Day,19,18.9
1,105,S,4_PM_Peak,14,17.1
1,105,S,5_Night,9,33.3
1,108,E,1_Early_AM,7,51.4
1,108,E,2_AM_Peak,26,6.9
1,108,E,3_Mid-Day,24,15.0
1,108,E,4_PM_Peak,25,9.6
1,108,E,5_Night,7,42.9
1,108,W,1_Early_AM,5,72.0
1,108,W,2_AM_Peak,20,9.0
1,108,W,3_Mid-Day,25,14.4
1,108,W,4_PM_Peak,28,8.6
1,108,W,5_Night,7,42.9
1,110,E,1_Early_AM,4,90.0
1,110,E,2_AM_Peak,11,16.4
1,110,E,3_Mid-Day,15,24.0
1,110,E,4_PM_Peak,23,10.4
1,110,E,5_Night,6,50.0
1,110,W,1_Early_AM,4,90.0
1,110,W,2_AM_Peak,12,15.0
1,110,W,3_Mid-Day,17,21.2
1,110,W,4_PM_Peak,17,14.1
1,110,W,5_Night,6,50.0
1,111,E,1_Early_AM,9,40.0
1,111,E,2_AM_Peak,16,11.3
1,111,E,3_Mid-Day,25,14.4
1,111,E,4_PM_Peak,23,10.4
1,111,E,5_Night,11,27.3
1,111,W,1_Early_AM,10,36.0
1,111,W,2_AM_Peak,19,9.5
1,111,W,3_Mid-Day,24,15.0
1,111,W,4_PM_Peak,24,10.0
1,111,W,5_Night,12,25.0
1,115,E,1_Early_AM,3,120.0
1,115,E,2_AM_Peak,17,10.6
1,115,E,3_Mid-Day,23,15.7
1,115,E,4_PM_Peak,25,9.6
1,115,E,5_Night,9,33.3
1,115,W,1_Early_AM,3,120.0
1,115,W,2_AM_Peak,23,7.8
1,115,W,3_Mid-Day,22,16.4
1,115,W,4_PM_Peak,20,12.0
1,115,W,5_Night,9,33.3
1,117,E,1_Early_AM,3,120.0
1,117,E,2_AM_Peak,8,22.5
1,117,E,3_Mid-Day,16,22.5
1,117,E,4_PM_Peak,11,21.8
1,117,E,5_Night,7,42.9
1,117,W,1_Early_AM,6,60.0
1,117,W,2_AM_Peak,9,20.0
1,117,W,3_Mid-Day,16,22.5
1,117,W,4_PM_Peak,10,24.0
1,117,W,5_Night,6,50.0
1,120,E,1_Early_AM,1,360.0
1,120,E,2_AM_Peak,5,36.0
1,120,E,3_Mid-Day,8,45.0
1,120,E,4_PM_Peak,6,40.0
1,120,E,5_Night,6,50.0
1,120,W,1_Early_AM,2,180.0
1,120,W,2_AM_Peak,4,45.0
1,120,W,3_Mid-Day,6,60.0
1,120,W,4_PM_Peak,7,34.3
1,120,W,5_Night,5,60.0
1,125,E,1_Early_AM,2,180.0
1,125,E,2_AM_Peak,9,20.0
1,125,E,3_Mid-Day,12,30.0
1,125,E,4_PM_Peak,10,24.0
1,125,E,5_Night,3,100.0
1,125,W,1_Early_AM,2,180.0
1,125,W,2_AM_Peak,10,18.0
1,125,W,3_Mid-Day,12,30.0
1,125,W,4_PM_Peak,10,24.0
1,125,W,5_Night,3,100.0
1,126,E,2_AM_Peak,3,60.0
1,126,E,4_PM_Peak,3,80.0
1,126,W,2_AM_Peak,3,60.0
1,126,W,4_PM_Peak,4,60.0
1,127,E,2_AM_Peak,4,45.0
1,127,E,3_Mid-Day,6,60.0
1,127,E,4_PM_Peak,4,60.0
1,127,E,5_Night,1,300.0
1,127,W,2_AM_Peak,3,60.0
1,127,W,3_Mid-Day,7,51.4
1,127,W,4_PM_Peak,4,60.0
1,128,E,2_AM_Peak,4,45.0
1,128,E,3_Mid-Day,7,51.4
1,128,E,4_PM_Peak,4,60.0
1,128,E,5_Night,2,150.0
1,128,W,2_AM_Peak,4,45.0
1,128,W,3_Mid-Day,7,51.4
1,128,W,4_PM_Peak,5,48.0
1,128,W,5_Night,2,150.0
1,130,E,1_Early_AM,2,180.0
1,130,E,2_AM_Peak,6,30.0
1,130,E,3_Mid-Day,7,51.4
1,130,E,4_PM_Peak,10,24.0
1,130,E,5_Night,4,75.0
1,130,W,1_Early_AM,1,360.0
1,130,W,2_AM_Peak,7,25.7
1,130,W,3_Mid-Day,8,45.0
1,130,W,4_PM_Peak,7,34.3
1,130,W,5_Night,4,75.0
1,150,E,1_Early_AM,10,36.0
1,150,E,2_AM_Peak,12,15.0
1,150,E,3_Mid-Day,25,14.4
1,150,E,4_PM_Peak,20,12.0
1,150,E,5_Night,15,20.0
1,150,W,1_Early_AM,10,36.0
1,150,W,2_AM_Peak,15,12.0
1,150,W,3_Mid-Day,24,15.0
1,150,W,4_PM_Peak,20,12.0
1,150,W,5_Night,15,20.0
1,152,E,1_Early_AM,3,120.0
1,152,E,2_AM_Peak,16,11.3
1,152,E,3_Mid-Day,15,24.0
1,152,E,4_PM_Peak,25,9.6
1,152,E,5_Night,6,50.0
1,152,W,1_Early_AM,3,120.0
1,152,W,2_AM_Peak,18,10.0
1,152,W,3_Mid-Day,16,22.5
1,152,W,4_PM_Peak,21,11.4
1,152,W,5_Night,8,37.5
1,154,E,2_AM_Peak,3,60.0
1,154,E,3_Mid-Day,6,60.0
1,154,E,4_PM_Peak,4,60.0
1,154,E,5_Night,1,300.0
1,154,W,1_Early_AM,1,360.0
1,154,W,2_AM_Peak,3,60.0
1,154,W,3_Mid-Day,6,60.0
1,154,W,4_PM_Peak,4,60.0
1,155,E,1_Early_AM,2,180.0
1,155,E,2_AM_Peak,6,30.0
1,155,E,3_Mid-Day,10,36.0
1,155,E,4_PM_Peak,7,34.3
1,155,E,5_Night,1,300.0
1,155,W,2_AM_Peak,6,30.0
1,155,W,3_Mid-Day,9,40.0
1,155,W,4_PM_Peak,8,30.0
1,155,W,5_Night,5,60.0
1,156,N,1_Early_AM,7,51.4
1,156,N,2_AM_Peak,5,36.0
1,156,N,3_Mid-Day,7,51.4
1,156,N,4_PM_Peak,7,34.3
1,156,N,5_Night,5,60.0
1,156,S,1_Early_AM,7,51.4
1,156,S,2_AM_Peak,7,25.7
1,156,S,3_Mid-Day,7,51.4
1,156,S,4_PM_Peak,6,40.0
1,156,S,5_Night,5,60.0
1,158,E,1_Early_AM,1,360.0
1,158,E,2_AM_Peak,5,36.0
1,158,E,3_Mid-Day,6,60.0
1,158,E,4_PM_Peak,6,40.0
1,158,E,5_Night,2,150.0
1,158,W,1_Early_AM,1,360.0
1,158,W,2_AM_Peak,8,22.5
1,158,W,3_Mid-Day,6,60.0
1,158,W,4_PM_Peak,5,48.0
1,158,W,5_Night,3,100.0
1,161,E,2_AM_Peak,3,60.0
1,161,E,3_Mid-Day,7,51.4
1,161,E,4_PM_Peak,7,34.3
1,161,E,5_Night,3,100.0
1,161,W,2_AM_Peak,10,18.0
1,161,W,3_Mid-Day,7,51.4
1,161,W,4_PM_Peak,4,60.0
1,161,W,5_Night,1,300.0
1,163,E,1_Early_AM,4,90.0
1,163,E,2_AM_Peak,16,11.3
1,163,E,3_Mid-Day,17,21.2
1,163,E,4_PM_Peak,20,12.0
1,163,E,5_Night,7,42.9
1,163,W,1_Early_AM,2,180.0
1,163,W,2_AM_Peak,16,11.3
1,163,W,3_Mid-Day,16,22.5
1,163,W,4_PM_Peak,19,12.6
1,163,W,5_Night,8,37.5
1,164,E,1_Early_AM,2,180.0
1,164,E,2_AM_Peak,7,25.7
1,164,E,3_Mid-Day,13,27.7
1,164,E,4_PM_Peak,16,15.0
1,164,E,5_Night,7,42.9
1,164,W,1_Early_AM,3,120.0
1,164,W,2_AM_Peak,14,12.9
1,164,W,3_Mid-Day,12,30.0
1,164,W,4_PM_Peak,11,21.8
1,164,W,5_Night,7,42.9
1,165,E,1_Early_AM,2,180.0
1,165,E,2_AM_Peak,11,16.4
1,165,E,3_Mid-Day,12,30.0
1,165,E,4_PM_Peak,22,10.9
1,165,E,5_Night,4,75.0
1,165,W,1_Early_AM,3,120.0
1,165,W,2_AM_Peak,22,8.2
1,165,W,3_Mid-Day,13,27.7
1,165,W,4_PM_Peak,14,17.1
1,165,W,5_Night,5,60.0
1,166,E,1_Early_AM,1,360.0
1,166,E,2_AM_Peak,10,18.0
1,166,E,3_Mid-Day,16,22.5
1,166,E,4_PM_Peak,25,9.6
1,166,E,5_Night,4,75.0
1,166,W,1_Early_AM,4,90.0
1,166,W,2_AM_Peak,19,9.5
1,166,W,3_Mid-Day,16,22.5
1,166,W,4_PM_Peak,14,17.1
1,166,W,5_Night,6,50.0
1,167,E,1_Early_AM,1,360.0
1,167,E,2_AM_Peak,4,45.0
1,167,E,3_Mid-Day,7,51.4
1,167,E,4_PM_Peak,6,40.0
1,167,E,5_Night,5,60.0
1,167,W,1_Early_AM,1,360.0
1,167,W,2_AM_Peak,5,36.0
1,167,W,3_Mid-Day,7,51.4
1,167,W,4_PM_Peak,5,48.0
1,167,W,5_Night,5,60.0
1,169,E,1_Early_AM,2,180.0
1,169,E,2_AM_Peak,5,36.0
1,169,E,3_Mid-Day,6,60.0
1,169,E,4_PM_Peak,8,30.0
1,169,E,5_Night,1,300.0
1,169,W,2_AM_Peak,6,30.0
1,169,W,3_Mid-Day,6,60.0
1,169,W,4_PM_Peak,5,48.0
1,169,W,5_Night,2,150.0
1,175,E,2_AM_Peak,8,22.5
1,175,E,3_Mid-Day,1,360.0
1,175,E,4_PM_Peak,4,60.0
1,175,E,5_Night,2,150.0
1,175,W,2_AM_Peak,4,45.0
1,175,W,3_Mid-Day,2,180.0
1,175,W,4_PM_Peak,9,26.7
1,175,W,5_Night,1,300.0
1,176,E,1_Early_AM,2,180.0
1,176,E,2_AM_Peak,4,45.0
1,176,E,3_Mid-Day,8,45.0
1,176,E,4_PM_Peak,5,48.0
1,176,E,5_Night,4,75.0
1,176,W,1_Early_AM,1,360.0
1,176,W,2_AM_Peak,5,36.0
1,176,W,3_Mid-Day,8,45.0
1,176,W,4_PM_Peak,5,48.0
1,176,W,5_Night,2,150.0
1,177,E,4_PM_Peak,7,34.3
1,177,W,1_Early_AM,1,360.0
1,177,W,2_AM_Peak,5,36.0
1,177,W,3_Mid-Day,1,360.0
1,180,E,1_Early_AM,8,45.0
1,180,E,2_AM_Peak,9,20.0
1,180,E,3_Mid-Day,21,17.1
1,180,E,4_PM_Peak,14,17.1
1,180,E,5_Night,11,27.3
1,180,W,1_Early_AM,9,40.0
1,180,W,2_AM_Peak,10,18.0
1,180,W,3_Mid-Day,21,17.1
1,180,W,4_PM_Peak,13,18.5
1,180,W,5_Night,11,27.3
1,183,E,1_Early_AM,1,360.0
1,183,E,2_AM_Peak,4,45.0
1,183,E,3_Mid-Day,6,60.0
1,183,E,4_PM_Peak,6,40.0
1,183,E,5_Night,4,75.0
1,183,W,1_Early_AM,1,360.0
1,183,W,2_AM_Peak,5,36.0
1,183,W,3_Mid-Day,6,60.0
1,183,W,4_PM_Peak,7,34.3
1,183,W,5_Night,2,150.0
1,190,E,1_Early_AM,7,51.4
1,190,E,2_AM_Peak,20,9.0
1,190,E,3_Mid-Day,21,17.1
1,190,E,4_PM_Peak,27,8.9
1,190,E,5_Night,13,23.1
1,190,W,1_Early_AM,8,45.0
1,190,W,2_AM_Peak,24,7.5
1,190,W,3_Mid-Day,22,16.4
1,190,W,4_PM_Peak,21,11.4
1,190,W,5_Night,10,30.0
1,200,N,1_Early_AM,6,60.0
1,200,N,2_AM_Peak,22,8.2
1,200,N,3_Mid-Day,36,10.0
1,200,N,4_PM_Peak,33,7.3
1,200,N,5_Night,13,23.1
1,200,S,1_Early_AM,5,72.0
1,200,S,2_AM_Peak,24,7.5
1,200,S,3_Mid-Day,38,9.5
1,200,S,4_PM_Peak,30,8.0
1,200,S,5_Night,12,25.0
1,201,N,2_AM_Peak,4,45.0
1,201,N,3_Mid-Day,7,51.4
1,201,N,4_PM_Peak,5,48.0
1,201,N,5_Night,2,150.0
1,201,S,1_Early_AM,1,360.0
1,201,S,2_AM_Peak,3,60.0
1,201,S,3_Mid-Day,7,51.4
1,201,S,4_PM_Peak,5,48.0
1,201,S,5_Night,2,150.0
1,202,N,2_AM_Peak,3,60.0
1,202,N,3_Mid-Day,1,360.0
1,202,N,4_PM_Peak,3,80.0
1,202,N,5_Night,1,300.0
1,202,S,1_Early_AM,1,360.0
1,202,S,2_AM_Peak,3,60.0
1,202,S,4_PM_Peak,4,60.0
1,204,N,1_Early_AM,15,24.0
1,204,N,2_AM_Peak,20,9.0
1,204,N,3_Mid-Day,25,14.4
1,204,N,4_PM_Peak,23,10.4
1,204,N,5_Night,13,23.1
1,204,S,1_Early_AM,12,30.0
1,204,S,2_AM_Peak,15,12.0
1,204,S,3_Mid-Day,28,12.9
1,204,S,4_PM_Peak,26,9.2
1,204,S,5_Night,18,16.7
1,205,N,1_Early_AM,3,120.0
1,205,N,2_AM_Peak,6,30.0
1,205,N,3_Mid-Day,12,30.0
1,205,N,4_PM_Peak,6,40.0
1,205,N,5_Night,4,75.0
1,205,S,1_Early_AM,1,360.0
1,205,S,2_AM_Peak,9,20.0
1,205,S,3_Mid-Day,11,32.7
1,205,S,4_PM_Peak,7,34.3
1,205,S,5_Night,5,60.0
1,206,N,1_Early_AM,5,72.0
1,206,N,2_AM_Peak,17,10.6
1,206,N,3_Mid-Day,20,18.0
1,206,N,4_PM_Peak,19,12.6
1,206,N,5_Night,7,42.9
1,206,S,1_Early_AM,7,51.4
1,206,S,2_AM_Peak,15,12.0
1,206,S,3_Mid-Day,18,20.0
1,206,S,4_PM_Peak,22,10.9
1,206,S,5_Night,11,27.3
